SMILES,frequency,ndummys
O=C(CCC[*:2])[*:1],663,2
c1c([*:1])cc([*:3])cc1[*:2],663,3
Oc1ccccc1[*:1],661,1
CC[C@H]([*:1])[*:2],652,2
c1ccc2[nH]c([*:1])nc2c1,649,1
c1cnc([*:2])c([*:1])c1,648,2
C1CN([*:2])C[C@@H]1[*:1],645,2
c1cnc([*:1])cn1,644,1
Cc1cc(C)n([*:1])n1,642,1
C[C@@H](C[*:2])[*:1],641,2
Cn1c([*:1])nnc1[*:2],629,2
C1CN([*:2])C[C@H]1[*:1],628,2
CC[C@@H]([*:1])[*:2],621,2
CC(C)C(=O)[*:1],617,1
c1cc([*:1])co1,615,1
Fc1ccc([*:1])cc1[*:2],613,2
Fc1ccc([*:2])cc1[*:1],611,2
Oc1cccc([*:1])c1,605,1
Cc1cccc(C)c1[*:1],604,1
Cc1nc([*:1])cs1,601,1
Cn1cc([*:2])c([*:1])n1,600,2
c1ccn([*:1])c1,584,1
CC1CCN([*:1])CC1,576,1
Cc1cc(C)c([*:1])c(C)c1,570,1
N#CCC[*:1],568,1
C([C@H]([*:2])[*:3])[*:1],567,3
c1cc([*:2])nnc1[*:1],558,2
Cc1noc([*:1])n1,556,1
c1ccc2c(c1)nc([*:2])n2[*:1],556,2
C([C@@H]([*:2])[*:3])[*:1],555,3
C1CN([*:1])C[C@H]([*:2])O1,551,2
C1CN([*:1])C[C@H]1[*:2],547,2
O[C@@H](C[*:1])C[*:2],546,2
Fc1ccc([*:1])c([*:2])c1,543,2
CC(C)(C[*:1])[*:2],542,2
n1nc([*:2])n([*:3])c1[*:1],542,3
c1cc([*:1])c([*:3])c([*:2])c1,539,3
Clc1ccc([*:2])c([*:1])c1,535,2
Cc1nn(C)c(C)c1[*:1],531,1
Clc1cc([*:1])ccc1[*:2],529,2
C1CN([*:1])C[C@@H]([*:2])O1,526,2
c1cc([*:1])nc([*:2])c1,524,2
Cc1c([*:1])cccc1[*:2],522,2
C1CC([*:1])([*:2])CCO1,522,2
C[C@H](C[*:2])[*:1],520,2
O[C@H](C[*:1])C[*:2],516,2
Cn1cc([*:1])c([*:2])n1,516,2
C1CN([*:1])C[C@@H]1[*:2],515,2
Fc1cccc(Cl)c1[*:1],514,1
C1[C@@H]([*:1])[C@H]1[*:2],513,2
C1CCC([*:1])([*:2])CC1,508,2
c1ccc2c(c1)CCN2[*:1],507,1
CC(C)(C)C(=O)[*:1],506,1
Cc1nc([*:1])sc1[*:2],505,2
FC(F)(F)O[*:1],501,1
Cc1cc([*:1])c(C)n1[*:2],494,2
C1C2CC3CC1CC([*:1])(C2)C3,491,1
Cc1ccsc1[*:1],488,1
c1nnnn1[*:1],480,1
C1C[C@H]([*:1])C[NH+]([*:2])C1,480,2
Cc1ccc([*:2])cc1[*:1],475,2
O=C(CCC(=O)[*:2])[*:1],465,2
c1cn([*:2])nc1[*:1],464,2
O=C1C[C@@H]([*:2])CN1[*:1],464,2
C1CN([*:1])CCN([*:2])C1,459,2
C1C[C@@H]([*:1])CO1,458,1
Clc1ccc(Cl)c([*:1])c1,455,1
O=C1C[C@H]([*:2])CN1[*:1],455,2
CCCC(=O)[*:1],454,1
n1nc([*:3])n([*:1])c1[*:2],450,3
Cc1cc([*:2])ccc1[*:1],448,2
n1[nH]c([*:1])nc1[*:2],448,2
FC(F)C[*:1],447,1
Fc1cc(F)cc([*:1])c1,442,1
C1C[C@@H]([*:1])C[NH+]([*:2])C1,440,2
Cc1cccc([*:1])n1,439,1
c1c([*:1])nnn1[*:2],439,2
Clc1cccc(Cl)c1[*:1],433,1
c1c([*:2])noc1[*:1],432,2
C1C[C@H]([*:1])CO1,427,1
C1C[C@@H]([*:2])[NH+]([*:1])C1,423,2
CCS(=O)(=O)[*:1],422,1
Fc1ccc([*:1])c(Cl)c1,422,1
O=C1c2ccccc2C(=O)N1[*:1],421,1
c1c([*:2])cc([*:3])c([*:4])c1[*:1],421,4
C[NH+]1CCC([*:1])CC1,420,1
n1nc([*:2])n([*:1])n1,416,2
C1CC[C@H]([*:2])[C@H]([*:1])C1,413,2
c1ccc2oc([*:1])cc2c1,412,1
Fc1ccc([*:1])cc1Cl,410,1
C[C@@H]1CN([*:1])C[C@H](C)O1,409,1
c1cc2c(cc1[*:1])CCC2,408,1
Cc1nc([*:1])no1,407,1
O=S(=O)(C[*:2])[*:1],407,2
Oc1ccc([*:2])cc1[*:1],406,2
Cn1ccnc1[*:1],402,1
C1CN([*:2])C[C@H]([*:1])O1,399,2
Cn1nc([*:1])cc1[*:2],396,2
c1cc([*:2])cc([*:1])n1,395,2
C1CCCC([*:1])CC1,393,1
Clc1cccc([*:1])c1Cl,392,1
Cc1c([*:1])cnn1[*:2],392,2
Cc1ccc([*:2])c([*:1])c1,392,2
Cc1ccc([*:1])cc1Cl,388,1
Cc1cc([*:1])c(C)o1,385,1
c1nc([*:1])sc1[*:2],383,2
C1CN([*:2])C[C@@H]([*:1])O1,383,2
C1C[C@H]([*:2])C[NH+]([*:1])C1,382,2
CC(C)[C@H]([*:1])[*:2],381,2
FC(F)[*:1],379,1
Cc1nc([*:1])sc1C,379,1
c1c([*:1])n[nH]c1[*:2],379,2
c1ncc([*:2])nc1[*:1],376,2
c1[nH]nc([*:2])c1[*:1],376,2
Cc1cc([*:1])on1,374,1
c1cn([*:1])c[nH+]1,373,1
c1ccc2c(c1)CCN([*:1])C2,373,1
C1CCN([*:1])[C@H]([*:2])C1,372,2
C1CC[C@H]([*:2])[C@@H]([*:1])C1,369,2
C1CCN([*:2])[C@H]([*:1])C1,368,2
Fc1ccc([*:2])c([*:1])c1,367,2
Nc1c([*:1])ncnc1[*:2],362,2
O=C(C[*:1])NNC(=O)[*:2],361,2
C1CC([*:1])([*:2])C1,360,2
Cc1cnc([*:1])s1,359,1
C1[C@H]([*:1])[C@H]1[*:2],359,2
c1ccc2c(c1)nc([*:1])n2[*:2],359,2
C(=N[*:1])[*:2],357,2
CC1CC[NH+]([*:1])CC1,357,1
Fc1cccc([*:1])c1F,356,1
O[C@@H]([*:1])[*:2],355,2
c1cc([*:1])n([*:2])n1,353,2
N#CC(=C[*:1])C(=O)[*:2],353,2
C1C[C@H]([*:2])[NH+]([*:1])C1,351,2
n1[nH]c([*:2])nc1[*:1],348,2
c1nnc([*:1])n1[*:2],346,2
O[C@H]([*:1])[*:2],345,2
c1ccc2oc([*:1])nc2c1,345,1
c1nc([*:1])cc([*:2])n1,345,2
C[C@@H]1CN([*:1])C[C@@H](C)O1,344,1
CCC(CC)[*:1],342,1
C1CC([*:1])CC[NH2+]1,342,1
CC1CCC([*:1])CC1,336,1
C(CC[*:2])C[*:1],335,2
Brc1ccc([*:1])s1,335,1
c1ccc([*:1])[nH+]c1,334,1
CC(C)([*:1])[*:2],333,2
C1CCN([*:2])[C@@H]([*:1])C1,333,2
c1ccn2c([*:1])nnc2c1,332,1
c1cnc2c([*:1])cccc2c1,331,1
c1c([*:2])n[nH]c1[*:1],329,2
Cn1cnnc1[*:1],328,1
c1cn([*:2])c([*:1])n1,328,2
Cn1cccc1[*:1],326,1
C[C@H]1CN([*:1])C[C@H](C)O1,324,1
Cn1ncnc1[*:1],323,1
c1cc([*:1])c([*:2])s1,322,2
Cn1cc[nH+]c1[*:1],319,1
CC(C)[C@@H]([*:1])[*:2],319,2
CC(C)(C(=O)[*:1])[*:2],318,2
Clc1cc(Cl)cc([*:1])c1,316,1
C1C[C@H]([*:2])C[C@H]1[*:1],316,2
c1c[nH]c([*:1])c1,315,1
c1cc2c(cc1[*:1])OCCCO2,314,1
c1nc([*:1])cs1,313,1
C1C[C@@H]([*:1])C[C@@H]([*:2])C1,313,2
Cc1occc1[*:1],312,1
C1[C@@H]([*:1])[C@@H]1[*:2],310,2
CC(C)(O)C[*:1],309,1
OC[C@H]([*:1])[*:2],309,2
ClC[*:1],307,1
OCCC[*:1],307,1
Cc1n[nH]c(C)c1[*:1],307,1
C1CCN([*:1])[C@@H]([*:2])C1,307,2
Cc1c([*:1])cnn1C,305,1
O=C(NN[*:1])[*:2],305,2
c1cn([*:1])nc1[*:2],305,2
Clc1ccc([*:1])cn1,304,1
Cc1cc(F)ccc1[*:1],303,1
CC(C)[C@@H](C(=O)[*:2])[*:1],301,2
C1C[C@@H]([*:2])C[NH+]([*:1])C1,301,2
Cc1c(Cl)cccc1[*:1],299,1
C([*:1])([*:2])[*:3],299,3
C[C@H]1C[C@H]1[*:1],298,1
c1cc([*:2])c([*:1])s1,298,2
O=S(=O)(C[*:1])[*:2],296,2
Brc1ccc([*:1])c([*:2])c1,294,2
C1C[NH+]([*:2])C[C@@H]1[*:1],294,2
Clc1ccc([*:1])nc1,292,1
O=C(NN[*:2])[*:1],291,2
[NH3+]CC[*:1],290,1
C1C[NH+]([*:2])C[C@H]1[*:1],290,2
Cc1cccc([*:1])c1[*:2],286,2
C1CN([*:2])CC[NH+]([*:1])C1,285,2
Cc1ccc(Cl)cc1[*:1],284,1
c1ccc2c(c1)=[NH+]CC=2[*:1],284,1
C1C[C@H]([*:2])C[C@@H]1[*:1],281,2
c1oc([*:2])nc1[*:1],280,2
Nn1c([*:1])nnc1[*:2],280,2
OC[C@@H]([*:1])[*:2],280,2
O=c1ccc([*:2])nn1[*:1],280,2
Clc1ncccc1[*:1],279,1
C1C[C@@H]([*:1])[C@@H]([*:2])C1,279,2
Cn1c([*:1])nc2ccccc21,278,1
O=C([C@H]([*:2])[*:3])[*:1],277,3
c1cn([*:1])nn1,276,1
Oc1ccc([*:1])cc1[*:2],274,2
Cc1nc(C)c([*:1])s1,273,1
c1sc([*:2])cc1[*:1],273,2
c1cc([*:2])n([*:1])n1,273,2
Fc1cc([*:1])ccc1Cl,271,1
c1sc([*:1])cc1[*:2],271,2
c1cc2nc([*:2])sc2cc1[*:1],271,2
C1C[C@H]([*:1])C[C@@H]([*:2])C1,271,2
C1CCC[NH+]([*:1])CC1,269,1
c1ccc2nc([*:1])ccc2c1,269,1
C1[C@@H]([*:2])[C@H]1[*:1],269,2
C[C@H]1C[C@@H]1[*:1],267,1
O=C1[C@H]([*:1])CCN1[*:2],265,2
C1C[C@@H]([*:2])C[C@H]1[*:1],264,2
Cc1cc(C)nc([*:1])n1,263,1
C1CCc2nnc([*:1])n2CC1,261,1
O=C([C@@H]([*:2])[*:3])[*:1],261,3
c1nc([*:1])oc1[*:2],260,2
c1cc2c(cc1[*:1])CCO2,260,1
c1ccc2c(c1)OC[C@@H]([*:1])O2,260,1
c1cc([*:1])no1,259,1
C1C[C@@H]([*:1])[NH+]([*:2])C1,259,2
C1CC[C@@H]([*:2])[C@H]([*:1])C1,259,2
FC(F)(F)CC[*:1],258,1
CS(=O)(=O)CC[*:1],258,1
Cc1cccnc1[*:1],257,1
c1nnc([*:2])n1[*:1],257,2
c1ccc2c(c1)ncn2[*:1],257,1
Cc1nn([*:2])c(C)c1[*:1],257,2
C[C@H]1CCCN([*:1])C1,256,1
Cn1nccc1[*:1],254,1
C[C@H]1CCCCN1[*:1],254,1
C1C[C@@H]([*:2])C[C@@H]1[*:1],254,2
O=C(NN=C[*:1])[*:2],253,2
c1ccc2c(c1)OC[C@H]([*:1])O2,253,1
C1CC[C@H]([*:1])OC1,252,1
C1C[C@H]([*:1])[NH+]([*:2])C1,252,2
Cc1ncccc1[*:1],251,1
CC1(C)C([*:1])C1(C)C,250,1
C[C@@H]1CCCN([*:1])C1,250,1
C1CC[C@H]([*:1])[C@H]([*:2])C1,249,2
Oc1c([*:1])cccc1[*:2],248,2
Cc1nn(C)cc1[*:1],247,1
C[C@H]1CCC[C@@H]([*:1])C1,245,1
Cc1ncsc1[*:1],244,1
c1cn([*:1])c([*:2])n1,241,2
Cc1cc([*:1])ccc1F,240,1
Cc1ccc([*:1])nc1,239,1
c1cc([*:1])n[nH]1,238,1
C(=N/[*:2])\[*:1],238,2
n1nn([*:1])nc1[*:2],238,2
C[C@H](C[*:1])C[*:2],238,2
C[C@H](CC[*:1])[*:2],238,2
C1CN([*:1])CC[NH+]([*:2])C1,238,2
Cc1nnc([*:1])s1,237,1
c1ccc2c(c1)CCCN2[*:1],235,1
CCC(C)(C)[*:1],234,1
Fc1ccc([*:1])nc1,234,1
C[S@@+]([O-])[*:1],234,1
CCCCC[*:1],233,1
Cc1n[nH]c([*:1])n1,233,1
O=C1CCC(=O)N1[*:1],233,1
C[C@@H]1C[C@H]1[*:1],232,1
C=C(C)C[*:1],231,1
Cc1cscc1[*:1],231,1
O=C([O-])CC[*:1],231,1
C1=CC[C@H]([*:1])CC1,231,1
c1cn([*:1])c([*:2])[nH+]1,231,2
Brc1ccc([*:1])o1,230,1
Cc1cc(Cl)ccc1[*:1],230,1
c1cc([*:1])cc[nH+]1,230,1
C[C@@H](CC[*:1])[*:2],230,2
c1c([*:1])c([*:3])nn1[*:2],230,3
C1C[C@H]([*:1])[C@@H]([*:2])C1,229,2
Cc1cnn([*:1])c1,228,1
C1CN([*:1])CCS1,228,1
Nc1ccc([*:1])cc1,228,1
Fc1ccc([*:1])c(F)c1F,228,1
C[C@@H]1C[C@@H]1[*:1],228,1
c1nc([*:1])c([*:3])c([*:2])n1,227,3
C[C@@H](C[*:1])C[*:2],226,2
C[C@@](O)(C[*:1])[*:2],225,2
Cc1cc([*:2])c(C)n1[*:1],225,2
C[C@@H]1CCCCN1[*:1],224,1
C1C[C@H]([*:1])C[C@H]([*:2])C1,222,2
CC(C)[C@H](C(=O)[*:2])[*:1],221,2
Cc1ccc([*:1])cn1,220,1
c1nc([*:1])n[nH]1,219,1
C[C@@H](CC(=O)[*:1])[*:2],218,2
c1ccc2c(c1)CCC[C@@H]2[*:1],218,1
C(=C/[*:2])\[*:1],217,2
Cc1cc([*:1])ccc1Br,217,1
CC[C@H](C[*:1])[*:2],216,2
O=S(=O)(CC[*:1])[*:2],216,2
C1CN([*:1])[C@@H]([*:2])CO1,216,2
C[C@@]1([*:1])CCCO1,215,1
CC(C)CC(=O)[*:1],214,1
c1ccc2c([*:1])cc([*:2])nc2c1,214,2
O=C1OCCN1[*:1],213,1
Cc1nnc([*:1])o1,213,1
Oc1cc([*:2])ccc1[*:1],213,2
Fc1cc([*:1])cc([*:2])c1,213,2
O=c1[nH]c([*:1])nc2ccccc12,213,1
CC(C)(C[*:2])[*:1],212,2
C1=C([*:1])CCCC1,211,1
Cn1ccc([*:1])n1,210,1
Ic1ccc([*:1])cc1,210,1
Fc1cc(Br)ccc1[*:1],210,1
Cc1cc([*:1])c(C)s1,210,1
C1C[C@@H]([*:1])[C@H]([*:2])C1,210,2
CC[C@@H](C[*:1])[*:2],209,2
O=C1NCCN1[*:1],208,1
C(=C[*:2])C[*:1],208,2
CC(C)[C@H](C)[*:1],208,1
O=C1[C@@H]([*:1])CCN1[*:2],207,2
c1ccc2c(c1)CCC[C@H]2[*:1],206,1
CN1CCO[C@@H]([*:1])C1,205,1
Brc1cc([*:2])ccc1[*:1],205,2
C#C[*:1],203,1
NC(=S)[*:1],203,1
C[C@@H](O)C[*:1],203,1
Cc1ccc(F)cc1[*:1],203,1
C[C@]1([*:1])CCCO1,203,1
c1cc2c(cc1[*:1])COC2,202,1
C1CC[C@@H]([*:1])OC1,202,1
C1=CC[C@@H]([*:1])CC1,202,1
c1c([*:1])c([*:4])cc([*:3])c1[*:2],201,4
Cc1nccn1[*:1],200,1
c1c[nH]c([*:1])n1,200,1
Cc1ccc([*:1])c(F)c1,200,1
Cc1nc([*:2])sc1[*:1],200,2
Cc1cc([*:1])n([*:2])n1,200,2
Oc1cc([*:1])ccc1[*:2],199,2
c1cc([*:1])nc([*:2])n1,199,2
O=C1/C(=C/[*:2])SC(=S)N1[*:1],199,2
C[S@+]([O-])[*:1],198,1
N#CC(=C[*:2])C(=O)[*:1],198,2
c1cc([*:1])cc([*:2])[nH+]1,198,2
O=C1CCCCN1[*:1],197,1
C[C@H](CC(=O)[*:1])[*:2],197,2
c1cn([*:2])c([*:1])[nH+]1,197,2
O=C([C@@H]([*:1])[*:3])[*:2],196,3
Cc1cc(F)cc([*:1])c1,195,1
O=C1C(=C[*:1])SC(=S)N1[*:2],193,2
C[C@H](O)[*:1],192,1
C[C@H]1OCC[C@@H]1[*:1],192,1
C[C@@H]1CCCC[C@@H]1[*:1],192,1
c1nc([*:2])ncc1[*:1],191,2
C[C@]1([*:1])NC(=O)N([*:2])C1=O,191,2
c1nnc([*:1])s1,190,1
c1cc([*:1])n([*:2])c1,190,2
Cc1cc([*:1])n(C)n1,189,1
c1n[nH]cc1[*:1],188,1
Fc1cc(Cl)ccc1[*:1],188,1
O=c1oc2ccccc2n1[*:1],188,1
c1cn([*:2])cc1[*:1],187,2
C(=NN[*:1])[*:2],186,2
c1cc([*:2])nc([*:1])n1,186,2
C[C@@H]1CCCC[C@H]1[*:1],186,1
C1CN([*:1])[C@H]([*:2])CO1,186,2
Cc1onc([*:1])c1[*:2],185,2
C[C@H]1CCCC[C@@H]1[*:1],185,1
c1c([*:1])nc([*:3])nc1[*:2],185,3
C1C[NH2+][C@@H]([*:1])C1,184,1
c1cc2c(cc1[*:1])CCCC2,183,1
O=c1ccc([*:1])nn1[*:2],183,2
Fc1ccc(Br)cc1[*:1],182,1
O=C(C[*:2])NNC(=O)[*:1],182,2
C[C@H](O)C[*:1],181,1
C1Cc2nnc([*:1])n2C1,181,1
O[C@@H](C[*:2])[*:1],181,2
C[C@H]1CCC[C@H]([*:1])C1,180,1
C[C@@H]1CCC[C@@H]([*:1])C1,180,1
c1nncn1[*:1],179,1
NC(=O)CC[*:1],179,1
C[C@H]1OCC[C@H]1[*:1],179,1
C[C@@H]1C[C@H](C)CN([*:1])C1,179,1
Cc1ccc([*:1])c(Cl)c1,178,1
Cc1cncc([*:1])c1,177,1
O=C(C[*:1])N/N=C/[*:2],177,2
c1cc2c(cc1[*:2])CCN2[*:1],177,2
C1C[NH+]([*:1])CCO1,176,1
c1ccc2[nH]c([*:1])cc2c1,176,1
Cc1oc([*:1])nc1[*:2],175,2
Fc1cccc([*:1])c1[*:2],175,2
C[C@H]1CCCC[C@H]1[*:1],175,1
NN[*:1],174,1
Fc1cc(Br)cc([*:1])c1,174,1
C/[NH+]=C(/N[*:1])N[*:2],174,2
c1cc([*:2])[nH+]cc1[*:1],174,2
Cn1nc([*:1])c([*:3])c1[*:2],174,3
Cc1ncc([*:1])s1,172,1
c1c([*:2])nnn1[*:1],172,2
O=C1CCc2cc([*:1])ccc2N1,172,1
O=C(N/N=C/[*:2])[*:1],171,2
C[C@@H]1CC([*:1])C[C@@H](C)O1,171,1
C[C@@H](O)[*:1],170,1
C[C@@H]1CC([*:1])C[C@H](C)O1,170,1
CC(C)(C)C[*:1],169,1
c1nc([*:1])ncc1[*:2],169,2
C[C@](O)(C[*:1])[*:2],169,2
C1C[C@@H]([*:1])C[C@H]([*:2])C1,169,2
CS(=O)(=O)C[*:1],168,1
Cc1[nH+]ccn1[*:1],168,1
CN1CCO[C@H]([*:1])C1,168,1
Fc1c([*:1])cccc1[*:2],168,2
C1CN([*:1])CC[NH2+]1,167,1
Brc1cncc([*:1])c1,166,1
c1[nH]nc([*:1])c1[*:2],166,2
Cc1cc([*:1])nc([*:2])n1,166,2
Cc1ccc(F)c([*:1])c1,165,1
Clc1cc([*:2])cnc1[*:1],165,2
O=C([C@H]([*:1])[*:3])[*:2],165,3
CC(C)[C@@H](C)[*:1],164,1
CC(C)[C@H](C(=O)[*:1])[*:2],164,2
C[C@@H]1OCC[C@@H]1[*:1],163,1
FC(F)S[*:1],162,1
C1C([*:1])CN1[*:2],162,2
Cc1[nH]c2ccccc2c1[*:1],162,1
CN1CCN([*:1])CC1,161,1
c1c[nH+]c([*:1])[nH]1,161,1
